No.,时间( s) ,变形( mm) ,力( kgf) ,应力( MPa) ,应变( %) 
3585,131.068,3.268,187.58,45.988,3.268
3586,131.1,3.269,187.64,46.003,3.269
3587,131.136,3.27,187.72,46.023,3.27
3588,131.165,3.271,187.8,46.042,3.271
3589,131.197,3.271,187.88,46.062,3.271
3590,131.229,3.272,187.94,46.077,3.272
3591,131.261,3.273,188,46.091,3.273
3592,131.293,3.274,188.06,46.106,3.274
3593,131.325,3.274,188.12,46.121,3.274
3594,131.357,3.275,188.18,46.135,3.275
3595,131.389,3.276,188.24,46.15,3.276
3596,131.423,3.277,188.32,46.17,3.277
3597,131.453,3.278,188.38,46.184,3.278
3598,131.485,3.278,188.46,46.204,3.278
3599,131.516,3.279,188.52,46.219,3.279
3600,131.541,3.28,188.58,46.233,3.28
3601,131.573,3.281,188.64,46.248,3.281
3602,131.603,3.281,188.7,46.263,3.281
3603,131.629,3.282,188.74,46.273,3.282
3604,131.653,3.283,188.8,46.287,3.283
3605,131.685,3.283,188.86,46.302,3.283
3606,131.709,3.284,188.9,46.312,3.284
3607,131.733,3.285,188.98,46.332,3.285
3608,131.769,3.286,189.04,46.346,3.286
3609,131.797,3.286,189.1,46.361,3.286
3610,131.821,3.287,189.16,46.376,3.287
3611,131.867,3.288,189.24,46.395,3.288
3612,131.893,3.289,189.3,46.41,3.289
3613,131.917,3.289,189.36,46.425,3.289
3614,131.95,3.29,189.42,46.439,3.29
3615,131.981,3.291,189.48,46.454,3.291
3616,132.013,3.292,189.54,46.469,3.292
3617,132.048,3.292,189.6,46.484,3.293
3618,132.077,3.293,189.66,46.498,3.293
3619,132.101,3.294,189.72,46.513,3.294
3620,132.133,3.295,189.78,46.528,3.295
3621,132.165,3.295,189.86,46.547,3.295
3622,132.197,3.296,189.92,46.562,3.296
3623,132.229,3.297,189.98,46.577,3.297
3624,132.261,3.298,190.06,46.596,3.298
3625,132.285,3.298,190.1,46.606,3.298
3626,132.324,3.299,190.16,46.621,3.299
3627,132.349,3.3,190.22,46.636,3.3
3628,132.381,3.301,190.28,46.65,3.301
3629,132.415,3.302,190.34,46.665,3.302
3630,132.445,3.303,190.42,46.685,3.302
3631,132.477,3.303,190.5,46.704,3.303
3632,132.51,3.304,190.58,46.724,3.304
3633,132.541,3.305,190.64,46.738,3.305
3634,132.565,3.305,190.72,46.758,3.305
3635,132.597,3.306,190.78,46.773,3.306
3636,132.629,3.307,190.82,46.783,3.307
3637,132.653,3.308,190.88,46.797,3.308
3638,132.683,3.308,190.94,46.812,3.308
3639,132.709,3.309,191,46.827,3.309
3640,132.733,3.31,191.04,46.837,3.31
3641,132.769,3.311,191.1,46.851,3.311
3642,132.797,3.311,191.18,46.871,3.311
3643,132.821,3.312,191.24,46.886,3.312
3644,132.853,3.313,191.3,46.9,3.313
3645,132.877,3.313,191.36,46.915,3.313
3646,132.909,3.314,191.42,46.93,3.314
3647,132.941,3.315,191.48,46.944,3.315
3648,132.973,3.316,191.54,46.959,3.316
3649,133.005,3.317,191.6,46.974,3.317
3650,133.043,3.317,191.66,46.989,3.317
3651,133.069,3.318,191.74,47.008,3.318
3652,133.093,3.319,191.8,47.023,3.319
3653,133.134,3.32,191.88,47.043,3.32
3654,133.165,3.321,191.96,47.062,3.321
3655,133.189,3.321,192.02,47.077,3.321
3656,133.219,3.322,192.08,47.092,3.322
3657,133.245,3.322,192.14,47.106,3.322
3658,133.269,3.323,192.2,47.121,3.323
3659,133.306,3.324,192.24,47.131,3.324
3660,133.333,3.325,192.3,47.145,3.325
3661,133.357,3.325,192.36,47.16,3.325
3662,133.39,3.326,192.42,47.175,3.326
3663,133.421,3.327,192.48,47.19,3.327
3664,133.453,3.328,192.56,47.209,3.328
3665,133.487,3.329,192.64,47.229,3.329
3666,133.517,3.329,192.7,47.244,3.329
3667,133.549,3.33,192.78,47.263,3.33
3668,133.582,3.331,192.84,47.278,3.331
3669,133.613,3.332,192.9,47.293,3.332
3670,133.637,3.332,192.96,47.307,3.332
3671,133.672,3.333,193.02,47.322,3.333
3672,133.701,3.334,193.08,47.337,3.334
3673,133.725,3.335,193.14,47.351,3.334
3674,133.755,3.335,193.22,47.371,3.335
3675,133.781,3.336,193.28,47.386,3.336
3676,133.813,3.337,193.36,47.405,3.337
3677,133.846,3.338,193.42,47.42,3.338
3678,133.877,3.338,193.48,47.435,3.338
3679,133.901,3.339,193.56,47.454,3.339
3680,133.936,3.34,193.6,47.464,3.34
3681,133.965,3.341,193.66,47.479,3.34
3682,133.989,3.341,193.72,47.494,3.341
3683,134.025,3.342,193.76,47.503,3.342
3684,134.053,3.343,193.82,47.518,3.343
3685,134.077,3.343,193.88,47.533,3.343
3686,134.113,3.344,193.96,47.552,3.344
3687,134.141,3.345,194.02,47.567,3.345
3688,134.165,3.345,194.08,47.582,3.345
3689,134.195,3.346,194.14,47.597,3.346
3690,134.221,3.347,194.2,47.611,3.347
3691,134.245,3.347,194.26,47.626,3.347
3692,134.284,3.349,194.3,47.636,3.349
3693,134.309,3.349,194.36,47.651,3.349
3694,134.341,3.35,194.42,47.665,3.35
3695,134.375,3.351,194.48,47.68,3.351
3696,134.405,3.352,194.56,47.7,3.352
3697,134.437,3.352,194.64,47.719,3.352
3698,134.47,3.353,194.7,47.734,3.353
3699,134.501,3.354,194.78,47.753,3.354
3700,134.533,3.355,194.86,47.773,3.355
3701,134.565,3.356,194.92,47.788,3.356
3702,134.589,3.356,194.98,47.803,3.356
3703,134.613,3.357,195.04,47.817,3.357
3704,134.644,3.357,195.08,47.827,3.357
3705,134.669,3.358,195.14,47.842,3.358
3706,134.701,3.359,195.2,47.856,3.359
3707,134.738,3.36,195.26,47.871,3.36
3708,134.765,3.361,195.32,47.886,3.361
3709,134.797,3.361,195.4,47.906,3.361
3710,134.829,3.362,195.46,47.92,3.362
3711,134.861,3.363,195.54,47.94,3.363
3712,134.893,3.364,195.62,47.959,3.364
3713,134.927,3.365,195.68,47.974,3.365
3714,134.957,3.365,195.74,47.989,3.365
3715,134.989,3.366,195.8,48.004,3.366
3716,135.022,3.367,195.86,48.018,3.367
3717,135.053,3.368,195.94,48.038,3.368
3718,135.085,3.369,196,48.053,3.369
3719,135.116,3.369,196.08,48.072,3.369
3720,135.141,3.37,196.16,48.092,3.37
3721,135.173,3.371,196.22,48.107,3.371
3722,135.21,3.372,196.3,48.126,3.372
3723,135.237,3.372,196.36,48.141,3.372
3724,135.261,3.373,196.42,48.156,3.373
3725,135.295,3.374,196.48,48.17,3.374
3726,135.325,3.375,196.52,48.18,3.375
3727,135.357,3.375,196.58,48.195,3.376
3728,135.389,3.376,196.66,48.214,3.376
3729,135.413,3.377,196.72,48.229,3.377
3730,135.437,3.377,196.78,48.244,3.377
3731,135.479,3.379,196.86,48.263,3.379
3732,135.509,3.379,196.92,48.278,3.379
3733,135.541,3.38,196.98,48.293,3.38
3734,135.569,3.381,197.06,48.312,3.381
3735,135.597,3.381,197.12,48.327,3.381
3736,135.621,3.382,197.16,48.337,3.382
3737,135.654,3.383,197.22,48.352,3.383
3738,135.685,3.384,197.28,48.366,3.384
3739,135.717,3.385,197.34,48.381,3.385
3740,135.751,3.385,197.42,48.401,3.385
3741,135.781,3.386,197.5,48.42,3.386
3742,135.805,3.387,197.56,48.435,3.387
3743,135.839,3.388,197.64,48.455,3.388
3744,135.869,3.388,197.7,48.469,3.388
3745,135.893,3.389,197.76,48.484,3.389
3746,135.927,3.39,197.8,48.494,3.39
3747,135.956,3.391,197.86,48.509,3.391
3748,135.988,3.391,197.92,48.523,3.391
3749,136.02,3.392,197.98,48.538,3.392
3750,136.052,3.393,198.04,48.553,3.393
3751,136.084,3.394,198.12,48.572,3.394
3752,136.117,3.394,198.18,48.587,3.394
3753,136.148,3.395,198.26,48.607,3.395
3754,136.172,3.396,198.32,48.621,3.396
3755,136.204,3.397,198.4,48.641,3.397
3756,136.236,3.397,198.46,48.656,3.397
3757,136.26,3.398,198.5,48.666,3.398
3758,136.292,3.399,198.56,48.68,3.399
3759,136.316,3.399,198.62,48.695,3.399
3760,136.34,3.4,198.66,48.705,3.4
3761,136.373,3.401,198.72,48.719,3.401
3762,136.404,3.402,198.78,48.734,3.402
3763,136.436,3.402,198.86,48.754,3.402
3764,136.478,3.403,198.94,48.773,3.403
3765,137.307,3.424,199.36,48.876,3.424
3766,137.332,3.425,199.76,48.974,3.425
3767,137.369,3.426,200.18,49.077,3.426
3768,137.396,3.427,200.6,49.18,3.427
3769,137.428,3.427,201,49.278,3.427
3770,137.452,3.428,201.06,49.293,3.428
3771,137.476,3.429,201.14,49.313,3.429
3772,137.508,3.429,201.2,49.327,3.429
3773,137.564,3.431,201.3,49.352,3.431
3774,137.596,3.431,201.36,49.367,3.431
3775,137.62,3.432,201.42,49.381,3.432
3776,137.644,3.433,201.46,49.391,3.433
3777,137.676,3.433,201.54,49.411,3.433
3778,137.7,3.434,201.6,49.426,3.434
3779,137.732,3.435,201.66,49.44,3.435
3780,137.756,3.436,201.72,49.455,3.436
3781,137.78,3.436,201.8,49.475,3.436
3782,137.812,3.437,201.86,49.489,3.437
3783,137.836,3.438,201.92,49.504,3.438
3784,137.868,3.438,201.98,49.519,3.438
3785,137.9,3.439,202.04,49.533,3.439
3786,137.924,3.44,202.08,49.543,3.44
3787,137.956,3.441,202.14,49.558,3.44
3788,137.98,3.441,202.18,49.568,3.441
3789,138.012,3.442,202.24,49.582,3.442
3790,138.036,3.443,202.3,49.597,3.443
3791,138.068,3.443,202.36,49.612,3.443
3792,138.092,3.444,202.42,49.627,3.444
3793,138.116,3.445,202.48,49.641,3.445
3794,138.14,3.445,202.54,49.656,3.445
3795,138.188,3.446,202.62,49.676,3.446
3796,138.212,3.447,202.68,49.69,3.447
3797,138.244,3.448,202.74,49.705,3.448
3798,138.268,3.448,202.78,49.715,3.448
3799,138.292,3.449,202.84,49.73,3.449
3800,138.316,3.45,202.88,49.739,3.449
3801,138.34,3.45,202.92,49.749,3.45
3802,138.372,3.451,202.98,49.764,3.451
3803,138.404,3.452,203.04,49.779,3.452
3804,138.436,3.453,203.12,49.798,3.453
3805,138.468,3.453,203.18,49.813,3.453
3806,138.492,3.454,203.26,49.833,3.454
3807,138.516,3.455,203.32,49.847,3.455
3808,138.54,3.455,203.38,49.862,3.455
3809,138.564,3.456,203.42,49.872,3.456
3810,138.596,3.457,203.48,49.886,3.457
3811,138.628,3.457,203.52,49.896,3.457
3812,138.66,3.458,203.56,49.906,3.458
3813,138.692,3.459,203.62,49.921,3.459
3814,138.716,3.46,203.68,49.935,3.46
3815,138.748,3.46,203.74,49.95,3.46
3816,138.772,3.461,203.82,49.97,3.461
3817,138.82,3.462,203.92,49.994,3.462
3818,138.844,3.463,203.98,50.009,3.463
3819,138.868,3.463,204.02,50.019,3.463
3820,138.9,3.464,204.08,50.034,3.464
3821,138.924,3.465,204.14,50.048,3.465
3822,138.948,3.465,204.18,50.058,3.465
3823,138.98,3.466,204.24,50.073,3.466
3824,139.012,3.467,204.28,50.083,3.467
3825,139.044,3.468,204.36,50.102,3.468
3826,139.068,3.468,204.42,50.117,3.468
3827,139.1,3.469,204.5,50.137,3.469
3828,139.132,3.47,204.56,50.151,3.47
3829,139.156,3.471,204.64,50.171,3.471
3830,139.18,3.471,204.7,50.186,3.471
3831,139.204,3.472,204.76,50.2,3.472
3832,139.228,3.472,204.8,50.21,3.472
3833,139.252,3.473,204.84,50.22,3.473
3834,139.284,3.474,204.9,50.235,3.474
3835,139.316,3.475,204.94,50.244,3.475
3836,139.34,3.475,204.98,50.254,3.475
3837,139.364,3.476,205.04,50.269,3.476
3838,139.396,3.477,205.1,50.284,3.477
3839,139.452,3.478,205.2,50.308,3.478
3840,139.476,3.479,205.28,50.328,3.479
3841,139.5,3.479,205.34,50.342,3.479
3842,139.532,3.48,205.38,50.352,3.48
3843,139.556,3.481,205.46,50.372,3.481
3844,139.588,3.481,205.5,50.382,3.481
3845,139.612,3.482,205.54,50.391,3.482
3846,139.644,3.483,205.6,50.406,3.483
3847,139.676,3.484,205.66,50.421,3.484
3848,139.708,3.484,205.72,50.436,3.484
3849,139.732,3.485,205.8,50.455,3.485
3850,139.756,3.486,205.86,50.47,3.486
3851,139.788,3.486,205.92,50.485,3.486
3852,139.812,3.487,206,50.504,3.487
3853,139.844,3.488,206.06,50.519,3.488
3854,139.876,3.489,206.12,50.534,3.489
3855,139.908,3.489,206.18,50.548,3.489
3856,139.94,3.49,206.24,50.563,3.49
3857,139.964,3.491,206.28,50.573,3.491
3858,139.988,3.492,206.34,50.588,3.492
3859,140.02,3.492,206.38,50.597,3.492
3860,140.052,3.493,206.44,50.612,3.493
3861,140.084,3.494,206.5,50.627,3.494
3862,140.116,3.495,206.56,50.642,3.495
3863,140.14,3.495,206.62,50.656,3.495
3864,140.164,3.496,206.7,50.676,3.496
3865,140.188,3.497,206.76,50.691,3.497
3866,140.22,3.497,206.8,50.7,3.497
3867,140.244,3.498,206.86,50.715,3.498
3868,140.276,3.499,206.9,50.725,3.499
3869,140.308,3.5,206.96,50.74,3.5
3870,140.34,3.5,207.02,50.754,3.5
3871,140.388,3.501,207.12,50.779,3.501
3872,140.412,3.502,207.16,50.789,3.502
3873,140.436,3.503,207.22,50.803,3.503
3874,140.461,3.503,207.28,50.818,3.503
3875,140.492,3.504,207.36,50.838,3.504
3876,140.516,3.505,207.42,50.852,3.505
3877,140.54,3.505,207.48,50.867,3.505
3878,140.564,3.506,207.54,50.882,3.506
3879,140.588,3.506,207.58,50.892,3.506
3880,140.612,3.507,207.62,50.901,3.507
3881,140.644,3.508,207.66,50.911,3.508
3882,140.668,3.509,207.72,50.926,3.509
3883,140.692,3.509,207.76,50.936,3.509
3884,140.716,3.51,207.82,50.95,3.51
3885,140.74,3.51,207.86,50.96,3.51
3886,140.772,3.511,207.92,50.975,3.511
3887,140.796,3.512,207.98,50.99,3.512
3888,140.82,3.512,208.04,51.004,3.512
3889,140.852,3.513,208.1,51.019,3.513
3890,140.876,3.514,208.16,51.034,3.514
3891,140.9,3.514,208.22,51.049,3.514
3892,140.932,3.515,208.28,51.063,3.515
3893,140.964,3.516,208.32,51.073,3.516
3894,140.988,3.516,208.38,51.088,3.516
3895,141.02,3.517,208.44,51.102,3.517
3896,141.052,3.518,208.5,51.117,3.518
3897,141.084,3.519,208.58,51.137,3.519
3898,141.108,3.519,208.64,51.152,3.519
3899,141.132,3.52,208.72,51.171,3.52
3900,141.164,3.521,208.78,51.186,3.521
3901,141.188,3.522,208.84,51.201,3.522
3902,141.22,3.522,208.9,51.215,3.522
3903,141.252,3.523,208.96,51.23,3.523
3904,141.276,3.524,209.02,51.245,3.524
3905,141.3,3.524,209.06,51.254,3.524
3906,141.324,3.525,209.12,51.269,3.525
3907,141.356,3.526,209.16,51.279,3.526
3908,141.388,3.527,209.22,51.294,3.527
3909,141.42,3.527,209.28,51.308,3.527
3910,141.444,3.528,209.34,51.323,3.528
3911,141.476,3.529,209.42,51.343,3.529
3912,141.508,3.53,209.48,51.357,3.53
3913,141.54,3.53,209.56,51.377,3.53
3914,141.564,3.531,209.62,51.392,3.531
3915,141.588,3.532,209.68,51.406,3.532
3916,141.612,3.532,209.72,51.416,3.532
3917,141.636,3.533,209.76,51.426,3.533
3918,141.66,3.533,209.82,51.441,3.533
3919,141.692,3.534,209.88,51.455,3.534
3920,141.724,3.535,209.94,51.47,3.535
3921,141.756,3.536,210,51.485,3.536
3922,141.788,3.537,210.08,51.505,3.537
3923,141.812,3.537,210.14,51.519,3.537
3924,141.844,3.538,210.22,51.539,3.538
3925,141.876,3.539,210.28,51.554,3.539
3926,141.908,3.54,210.34,51.568,3.54
3927,141.932,3.54,210.4,51.583,3.54
3928,141.964,3.541,210.46,51.598,3.541
3929,141.988,3.542,210.5,51.608,3.542
3930,142.012,3.542,210.54,51.617,3.542
3931,142.036,3.543,210.6,51.632,3.543
3932,142.068,3.544,210.64,51.642,3.544
3933,142.1,3.544,210.7,51.657,3.544
3934,142.124,3.545,210.76,51.671,3.545
3935,142.148,3.546,210.82,51.686,3.546
3936,142.172,3.546,210.9,51.706,3.546
3937,142.204,3.547,210.96,51.72,3.547
3938,142.236,3.548,211.02,51.735,3.548
3939,142.268,3.549,211.06,51.745,3.549
3940,142.3,3.549,211.12,51.76,3.549
3941,142.332,3.55,211.18,51.774,3.55
3942,142.364,3.551,211.24,51.789,3.551
3943,142.388,3.551,211.3,51.804,3.551
3944,142.412,3.552,211.36,51.818,3.552
3945,142.444,3.553,211.42,51.833,3.553
3946,142.476,3.554,211.5,51.853,3.554
3947,142.5,3.554,211.56,51.867,3.554
3948,142.532,3.555,211.64,51.887,3.555
3949,142.564,3.556,211.7,51.902,3.556
3950,142.596,3.557,211.76,51.916,3.557
3951,142.628,3.558,211.82,51.931,3.558
3952,142.66,3.558,211.88,51.946,3.558
3953,142.692,3.559,211.94,51.961,3.559
3954,142.724,3.56,212,51.975,3.56
3955,142.756,3.561,212.08,51.995,3.561
3956,142.788,3.562,212.14,52.01,3.562
3957,142.82,3.562,212.22,52.029,3.562
3958,142.852,3.563,212.28,52.044,3.563
3959,142.876,3.564,212.34,52.059,3.564
3960,142.9,3.564,212.4,52.073,3.564
3961,142.924,3.565,212.44,52.083,3.565
3962,142.956,3.566,212.5,52.098,3.566
3963,142.98,3.566,212.54,52.108,3.566
3964,143.012,3.567,212.6,52.122,3.567
3965,143.044,3.568,212.66,52.137,3.568
3966,143.076,3.569,212.74,52.157,3.569
3967,143.108,3.57,212.8,52.171,3.57
3968,143.14,3.571,212.88,52.191,3.571
3969,143.172,3.571,212.96,52.211,3.571
3970,143.204,3.572,213.02,52.225,3.572
3971,143.238,3.573,213.08,52.24,3.573
3972,143.268,3.574,213.14,52.255,3.574
3973,143.3,3.574,213.2,52.269,3.574
3974,143.324,3.575,213.26,52.284,3.575
3975,143.348,3.575,213.3,52.294,3.575
3976,143.372,3.576,213.36,52.309,3.576
3977,143.396,3.577,213.4,52.318,3.577
3978,143.42,3.577,213.46,52.333,3.577
3979,143.444,3.578,213.52,52.348,3.578
3980,143.468,3.579,213.58,52.363,3.579
3981,143.492,3.579,213.64,52.377,3.579
3982,143.516,3.58,213.68,52.387,3.58
3983,143.548,3.581,213.74,52.402,3.581
3984,143.58,3.582,213.8,52.417,3.582
3985,143.612,3.582,213.86,52.431,3.582
3986,143.636,3.583,213.9,52.441,3.583
3987,143.66,3.583,213.96,52.456,3.583
3988,143.684,3.584,214.02,52.47,3.584
3989,143.708,3.585,214.06,52.48,3.585
3990,143.732,3.585,214.12,52.495,3.585
3991,143.756,3.586,214.18,52.51,3.586
3992,143.788,3.587,214.26,52.529,3.587
3993,143.82,3.587,214.32,52.544,3.587
3994,143.913,3.59,214.4,52.564,3.59
3995,143.972,3.591,214.5,52.588,3.591
3996,143.996,3.592,214.58,52.608,3.592
3997,144.028,3.593,214.66,52.627,3.593
3998,144.062,3.594,214.76,52.652,3.594
3999,144.092,3.594,214.84,52.672,3.594
4000,144.116,3.595,214.9,52.686,3.595
4001,144.149,3.596,214.96,52.701,3.596
4002,144.18,3.597,215.04,52.721,3.597
4003,144.212,3.597,215.1,52.735,3.597
4004,144.266,3.599,215.18,52.755,3.599
4005,144.292,3.599,215.24,52.77,3.599
4006,144.316,3.6,215.3,52.784,3.6
4007,144.424,3.603,215.4,52.809,3.603
4008,144.452,3.603,215.52,52.838,3.603
4009,144.476,3.604,215.62,52.863,3.604
4010,144.521,3.605,215.72,52.887,3.605
4011,144.548,3.606,215.82,52.912,3.606
4012,144.572,3.606,215.88,52.927,3.606
4013,144.611,3.607,215.94,52.941,3.607
4014,144.636,3.608,216,52.956,3.608
4015,144.668,3.609,216.06,52.971,3.609
4016,144.791,3.612,216.18,53,3.612
4017,144.82,3.613,216.28,53.025,3.613
4018,144.852,3.613,216.4,53.054,3.613
4019,144.887,3.614,216.5,53.078,3.614
4020,144.916,3.615,216.62,53.108,3.615
4021,144.94,3.615,216.66,53.118,3.615
4022,144.976,3.616,216.72,53.132,3.616
4023,145.004,3.617,216.78,53.147,3.617
4024,145.036,3.618,216.84,53.162,3.618
4025,145.07,3.619,216.9,53.177,3.619
4026,145.1,3.619,216.98,53.196,3.619
4027,145.124,3.62,217.06,53.216,3.62
4028,145.159,3.621,217.12,53.231,3.621
4029,145.188,3.622,217.2,53.25,3.622
4030,145.22,3.623,217.26,53.265,3.623
4031,145.27,3.624,217.34,53.284,3.624
4032,145.3,3.625,217.4,53.299,3.625
4033,145.332,3.625,217.48,53.319,3.625
4034,145.367,3.626,217.54,53.333,3.626
4035,145.396,3.627,217.6,53.348,3.627
4036,145.42,3.627,217.66,53.363,3.628
4037,145.454,3.628,217.74,53.383,3.628
4038,145.484,3.629,217.8,53.397,3.629
4039,145.508,3.63,217.86,53.412,3.63
4040,145.546,3.631,217.92,53.427,3.631
4041,145.572,3.631,217.98,53.441,3.631
4042,145.604,3.632,218.04,53.456,3.632
4043,145.638,3.633,218.1,53.471,3.633
4044,145.668,3.634,218.18,53.49,3.634
4045,145.7,3.635,218.24,53.505,3.635
4046,145.734,3.635,218.32,53.525,3.635
4047,145.764,3.636,218.38,53.539,3.636
4048,145.796,3.637,218.46,53.559,3.637
4049,145.831,3.638,218.54,53.579,3.638
4050,145.86,3.639,218.6,53.593,3.639
4051,145.892,3.639,218.66,53.608,3.639
4052,145.953,3.641,218.72,53.623,3.641
4053,145.98,3.642,218.78,53.637,3.642
4054,146.012,3.642,218.86,53.657,3.642
4055,146.048,3.643,218.92,53.672,3.643
4056,146.076,3.644,219,53.691,3.644
4057,146.108,3.645,219.06,53.706,3.645
4058,146.148,3.646,219.14,53.726,3.646
4059,146.18,3.647,219.22,53.745,3.646
4060,146.212,3.647,219.28,53.76,3.647
4061,146.247,3.648,219.36,53.78,3.648
4062,146.276,3.649,219.42,53.794,3.649
4063,146.308,3.65,219.48,53.809,3.65
4064,146.357,3.651,219.54,53.824,3.651
4065,146.388,3.652,219.6,53.839,3.652
4066,146.42,3.653,219.68,53.858,3.653
4067,146.453,3.653,219.76,53.878,3.653
4068,146.484,3.654,219.86,53.902,3.654
4069,146.516,3.655,219.92,53.917,3.655
4070,146.553,3.656,220,53.937,3.656
4071,146.58,3.657,220.08,53.956,3.657
4072,146.613,3.657,220.14,53.971,3.657
4073,146.656,3.658,220.2,53.986,3.658
4074,146.684,3.659,220.26,54,3.659
4075,146.716,3.66,220.32,54.015,3.66
4076,146.755,3.661,220.4,54.035,3.661
4077,146.78,3.662,220.48,54.054,3.662
4078,146.85,3.663,220.6,54.084,3.663
4079,146.876,3.664,220.68,54.103,3.664
4080,146.908,3.665,220.74,54.118,3.665
4081,146.932,3.665,220.8,54.133,3.665
4082,146.967,3.666,220.86,54.147,3.666
4083,146.996,3.667,220.92,54.162,3.667
4084,147.02,3.668,220.98,54.177,3.668
4085,147.056,3.669,221.04,54.192,3.669
4086,147.084,3.669,221.12,54.211,3.669
4087,147.116,3.67,221.2,54.231,3.67
4088,147.163,3.671,221.28,54.25,3.671
4089,147.188,3.672,221.36,54.27,3.672
4090,147.212,3.672,221.42,54.285,3.672
4091,147.249,3.673,221.48,54.299,3.673
4092,147.276,3.674,221.54,54.314,3.674
4093,147.308,3.675,221.6,54.329,3.675
4094,147.343,3.676,221.66,54.344,3.676
4095,147.372,3.676,221.72,54.358,3.676
4096,147.396,3.677,221.78,54.373,3.677
4097,147.433,3.678,221.86,54.393,3.678
4098,147.46,3.679,221.92,54.407,3.679
4099,147.484,3.679,222,54.427,3.679
4100,147.523,3.68,222.06,54.442,3.68
4101,147.548,3.681,222.12,54.456,3.681
4102,147.572,3.681,222.18,54.471,3.681
4103,147.613,3.683,222.24,54.486,3.683
4104,147.644,3.683,222.3,54.5,3.683
4105,147.668,3.684,222.36,54.515,3.684
4106,147.704,3.685,222.42,54.53,3.685
4107,147.732,3.686,222.5,54.55,3.685
4108,147.764,3.686,222.56,54.564,3.686
4109,147.8,3.687,222.64,54.584,3.687
4110,147.828,3.688,222.72,54.603,3.688
4111,147.86,3.689,222.78,54.618,3.689
4112,147.895,3.69,222.84,54.633,3.69
4113,147.924,3.69,222.9,54.648,3.69
4114,147.948,3.691,222.96,54.662,3.691
4115,147.983,3.692,223,54.672,3.692
4116,148.012,3.692,223.06,54.687,3.692
4117,148.036,3.693,223.12,54.702,3.693
4118,148.071,3.694,223.16,54.711,3.694
4119,148.1,3.695,223.24,54.731,3.695
4120,148.132,3.695,223.3,54.746,3.695
4121,148.169,3.696,223.36,54.76,3.696
4122,148.196,3.697,223.44,54.78,3.697
4123,148.228,3.698,223.5,54.795,3.698
4124,148.263,3.699,223.56,54.809,3.699
4125,148.292,3.699,223.62,54.824,3.699
4126,148.316,3.7,223.66,54.834,3.7
4127,148.35,3.701,223.72,54.849,3.701
4128,148.38,3.702,223.78,54.863,3.701
4129,148.404,3.702,223.84,54.878,3.702
4130,148.438,3.703,223.92,54.898,3.703
4131,148.468,3.704,224,54.917,3.704
4132,148.5,3.705,224.06,54.932,3.705
4133,148.537,3.706,224.12,54.947,3.706
4134,148.564,3.706,224.2,54.966,3.706
4135,148.588,3.707,224.26,54.981,3.707
4136,148.627,3.708,224.3,54.991,3.708
4137,148.653,3.709,224.36,55.006,3.709
4138,148.685,3.709,224.42,55.02,3.709
4139,148.731,3.71,224.48,55.035,3.71
4140,148.757,3.711,224.56,55.055,3.711
4141,148.789,3.712,224.62,55.069,3.712
4142,148.835,3.713,224.7,55.089,3.713
4143,148.861,3.714,224.78,55.108,3.714
4144,148.893,3.715,224.84,55.123,3.715
4145,148.933,3.716,224.92,55.143,3.716
4146,148.957,3.716,224.98,55.158,3.716
4147,148.981,3.717,225.02,55.167,3.717
4148,149.023,3.718,225.08,55.182,3.718
4149,149.053,3.719,225.16,55.202,3.719
4150,149.077,3.719,225.22,55.216,3.719
4151,149.122,3.72,225.3,55.236,3.72
4152,149.149,3.721,225.38,55.256,3.721
4153,149.173,3.721,225.46,55.275,3.721
4154,149.21,3.722,225.52,55.29,3.722
4155,149.237,3.723,225.58,55.305,3.723
4156,149.261,3.724,225.62,55.314,3.724
4157,149.295,3.725,225.68,55.329,3.725
4158,149.325,3.725,225.74,55.344,3.725
4159,149.349,3.726,225.78,55.354,3.726
4160,149.386,3.727,225.84,55.368,3.727
4161,149.413,3.727,225.9,55.383,3.727
4162,149.437,3.728,225.96,55.398,3.728
4163,149.472,3.729,226.02,55.412,3.729
4164,149.501,3.73,226.1,55.432,3.73
4165,149.533,3.731,226.16,55.447,3.731
4166,149.588,3.732,226.22,55.462,3.732
4167,149.613,3.733,226.28,55.476,3.733
4168,149.645,3.733,226.36,55.496,3.733
4169,149.685,3.734,226.42,55.511,3.734
4170,149.717,3.735,226.5,55.53,3.735
4171,149.749,3.736,226.56,55.545,3.736
4172,149.8,3.737,226.64,55.564,3.737
4173,149.829,3.738,226.74,55.589,3.738
4174,149.853,3.739,226.8,55.604,3.739
4175,149.9,3.74,226.86,55.618,3.74
4176,149.925,3.74,226.94,55.638,3.74
4177,149.957,3.741,226.98,55.648,3.741
4178,150.008,3.742,227.04,55.663,3.742
4179,150.037,3.743,227.1,55.677,3.743
4180,150.061,3.744,227.18,55.697,3.744
4181,150.119,3.745,227.24,55.712,3.745
4182,150.149,3.746,227.32,55.731,3.746
4183,150.181,3.747,227.4,55.751,3.747
4184,150.246,3.748,227.5,55.775,3.748
4185,150.277,3.749,227.58,55.795,3.749
4186,150.301,3.75,227.66,55.815,3.75
4187,150.35,3.751,227.74,55.834,3.751
4188,150.381,3.752,227.82,55.854,3.752
4189,150.413,3.752,227.88,55.868,3.753
4190,150.463,3.754,227.96,55.888,3.754
4191,150.493,3.755,228.04,55.908,3.755
4192,150.525,3.755,228.1,55.922,3.755
